VARIABLES="time" "Distance" "lon" "lat" "density" "Vx" "Vy" "Vz" "p" "Bx" "By" "Bz" "T"
ZONE
DT=(DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE )
2.012532542140e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 4.910669678896e+00 3.616399817782e+02 1.814811524217e+01 1.651665427448e+00 3.862251312530e+01 -3.558923900930e+01 2.983914167232e+01 -7.260361078166e-01 2.850241387125e+04
2.012532656180e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 5.036598918385e+00 3.617452358317e+02 1.753258374770e+01 1.820799767689e+00 3.818327324387e+01 -3.662211505967e+01 3.066551044165e+01 -7.289649462350e-01 2.746967092679e+04
2.012532770220e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 5.163021914870e+00 3.624776734152e+02 1.647024441799e+01 2.195823687586e+00 3.845651900772e+01 -3.743129569920e+01 3.140932159125e+01 -5.795363686766e-01 2.699007349067e+04
2.012532884261e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 5.172339108698e+00 3.591512748832e+02 1.787855962699e+01 2.182765300711e+00 3.945304377992e+01 -3.629644912622e+01 3.061221774143e+01 -6.791301193302e-01 2.764483958342e+04
2.012532998301e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 5.361986165378e+00 3.600837324907e+02 1.663449065743e+01 2.601428087623e+00 4.011228791576e+01 -3.714003887972e+01 3.136108046676e+01 -4.005871300469e-01 2.709623728314e+04
2.012533112341e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 5.564517300003e+00 3.616889967586e+02 1.497925400852e+01 3.160077372966e+00 4.155292499557e+01 -3.777368883493e+01 3.201547945895e+01 1.694357355758e-02 2.702622158804e+04
2.012533226381e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 5.778236968316e+00 3.636266007555e+02 1.303128391112e+01 3.844055294987e+00 4.345715241906e+01 -3.820740608777e+01 3.255919835106e+01 6.060096378853e-01 2.717952174529e+04
2.012533340422e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 6.062678008858e+00 3.661329439449e+02 1.068660088210e+01 4.567156171455e+00 4.637255189358e+01 -3.846080270038e+01 3.285201697718e+01 1.296754887992e+00 2.762368997009e+04
2.012533454462e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 6.360494288128e+00 3.689616333896e+02 8.186076278713e+00 5.261567805726e+00 4.978228685205e+01 -3.857173049910e+01 3.293204361009e+01 2.015499604198e+00 2.827259123464e+04
2.012533568502e+03 1.020000000000e+00 3.781507555516e+01 4.400000000000e+00 6.600502889305e+00 3.718115847838e+02 5.713665597247e+00 5.892866533708e+00 5.313306744972e+01 -3.858397148090e+01 3.284516026766e+01 2.688498891206e+00 2.910084895353e+04
